# ccx tau_xx tau_yy tau_zz cp
0.0423215 -105.13 -20.581 -9.02229e-13 -0.103668
0.0433329 -107.912 -21.1213 1.54171e-13 -0.109723
0.0443419 -111.298 -21.7726 -4.17874e-13 -0.121407
0.0453487 -114.952 -22.4822 -6.90384e-13 -0.138408
0.0463531 -123.935 -26.7025 7.05272e-13 -0.156004
0.0473573 -117.136 -23.2824 -9.26468e-13 -0.185926
0.0483612 -110.463 -19.5175 2.56282e-14 -0.178193
0.0493628 -113.807 -20.1747 1.05919e-13 -0.182781
0.0503621 -117.954 -20.9025 2.22522e-13 -0.195143
0.0513591 -125.989 -17.8938 -1.12265e-12 -0.211733
0.0523545 -128.65 -21.473 3.02313e-13 -0.232459
0.0533493 -119.884 -21.0897 -5.07409e-13 -0.248665
0.0543429 -115.835 -18.4742 1.39836e-13 -0.243462
0.0553341 -119.595 -19.0549 1.73213e-14 -0.249495
0.0563232 -124.212 -19.6167 -7.08472e-13 -0.263838
0.0573099 -135.742 -23.4288 9.91588e-14 -0.281504
0.0582957 -127.859 -20.2521 1.20515e-12 -0.311945
0.0592807 -118.782 -20.9857 8.26353e-13 -0.300997
0.0602635 -120.429 -21.3067 -3.84588e-13 -0.30105
0.0612441 -124.386 -21.8799 2.75245e-13 -0.31137
0.0622223 -133.954 -20.6403 7.16553e-13 -0.323163
0.0631992 -130.238 -18.2905 5.96486e-13 -0.349309
0.0641751 -122.987 -19.077 8.85294e-13 -0.345795
0.065149 -124.056 -19.1795 9.27545e-13 -0.345671
0.0661207 -129.042 -19.9118 -3.53866e-14 -0.358843
0.06709 -140.078 -18.9957 -4.48805e-13 -0.374026
0.068058 -134.776 -16.7283 -2.30405e-13 -0.402949
0.0690247 -127.105 -17.1189 3.76287e-14 -0.398552
0.0699894 -127.875 -17.1826 1.51529e-13 -0.398386
0.0709518 -133.78 -17.9021 -4.83008e-13 -0.409863
0.0719121 -140.892 -16.4477 8.03695e-14 -0.423738
0.0728709 -135.124 -14.2534 -5.24219e-13 -0.449405
0.0738282 -126.776 -14.6435 -2.00268e-13 -0.438867
0.0747834 -129.324 -14.9209 -5.51873e-14 -0.438877
0.0757363 -140.152 -14.7382 7.06971e-14 -0.454012
0.0766874 -138.318 -14.8978 -3.13884e-14 -0.470899
0.0776369 -131.915 -12.9193 -1.13324e-13 -0.476928
0.0785845 -129.252 -12.6596 -5.62396e-14 -0.474097
0.0795299 -134.529 -13.122 -4.23004e-14 -0.479704
0.0804732 -142.501 -12.2357 -2.40561e-13 -0.494696
0.0814148 -135.524 -10.6019 -4.15417e-14 -0.514056
0.0823547 -129.182 -10.5247 -4.99625e-14 -0.506599
0.0832924 -132.484 -10.7675 8.82894e-14 -0.506807
0.0842279 -145.533 -10.591 9.82703e-14 -0.523269
0.0851616 -137.469 -8.8035 1.01312e-13 -0.546619
0.0860936 -130.06 -8.62805 -1.26776e-14 -0.537577
0.0870234 -133.431 -8.81939 -6.85737e-14 -0.537518
0.087951 -145.869 -8.70297 -6.51155e-15 -0.553419
0.0888768 -137.919 -7.21032 -4.33498e-14 -0.574804
0.0898007 -131.053 -6.77931 1.25668e-13 -0.566943
0.0907225 -134.823 -6.8837 3.90539e-14 -0.567099
0.0916422 -144.956 -7.53691 7.99566e-14 -0.583686
0.09256 -136.722 -5.22378 2.84704e-14 -0.597135
0.0934757 -132.29 -4.29907 -7.04661e-14 -0.592793
0.0943894 -138.575 -3.95579 5.19285e-15 -0.596757
0.095301 -140.699 -3.74036 -9.6243e-14 -0.612994
0.0962106 -134.675 -2.95623 -1.34659e-13 -0.615958
0.0971182 -133.899 -2.86306 -1.06845e-13 -0.614684
0.0980237 -143.274 -2.69118 -1.06598e-14 -0.625107
0.0989271 -137.78 -2.03164 -4.38264e-14 -0.641661
0.0998285 -132.415 -1.58164 -4.638e-14 -0.636578
0.100728 -139.201 -1.41327 -9.28405e-14 -0.639727
0.101625 -139.588 -1.0682 -5.61137e-14 -0.657488
0.10252 -134.127 -0.338199 -5.59487e-14 -0.65675
0.103413 -137.047 -0.150273 -5.25964e-14 -0.656549
0.104304 -141.293 0.286434 -5.88115e-14 -0.674619
0.105193 -135.131 1.28498 -6.6493e-14 -0.675742
0.10608 -136.439 1.48327 -7.45767e-14 -0.674911
0.106965 -141.177 1.98808 -9.98722e-14 -0.69067
0.107847 -135.155 2.0669 -4.16853e-14 -0.69282
0.108728 -136.616 2.29529 -6.18388e-14 -0.691968
0.109606 -139.48 2.74679 5.52062e-15 -0.707814
0.110482 -133.347 2.98589 -5.40841e-14 -0.707305
0.111357 -133.646 2.7063 -5.22419e-14 -0.704725
0.112229 -132.86 3.9079 -2.49951e-13 -0.718237
0.113099 -119.575 3.31225 -2.02062e-13 -0.708892
0.113966 -112.856 2.44862 -1.30395e-13 -0.697847
0.114832 -94.701 0.861374 -1.92205e-13 -0.683081
0.115696 -65.7359 3.12187 1.10737e-13 -0.630296
0.116557 -44.8715 7.20575 1.14636e-13 -0.565584
0.117416 -19.4795 10.5258 -9.30815e-15 -0.481506
0.118273 -6.9391 11.4603 -2.84906e-13 -0.399715
0.119128 3.85708 10.7584 -6.92639e-14 -0.335104
0.119981 9.91853 9.34928 -9.00743e-14 -0.279394
0.120832 13.3482 7.8964 -4.14368e-13 -0.240577
0.12168 15.3072 6.83614 -1.95365e-14 -0.207371
0.122528 16.0743 5.98849 3.07654e-14 -0.183482
0.123376 16.3113 5.50445 -3.94574e-14 -0.163194
0.124226 15.8743 5.13385 -2.11234e-13 -0.146745
0.125078 15.0656 4.64903 3.99582e-13 -0.132678
0.125931 14.1315 4.2106 2.90957e-13 -0.120749
0.126786 12.9137 3.81413 -1.20366e-12 -0.110088
0.127643 11.7095 3.33623 -5.28062e-13 -0.101666
0.128502 10.3254 2.92203 -3.60429e-13 -0.0940083
0.129363 9.06107 2.49451 -6.44509e-13 -0.0886358
0.130225 7.89503 2.21413 1.93117e-13 -0.08365
0.131089 6.7716 1.98337 -1.96282e-13 -0.0802572
0.131954 5.86596 1.83595 -1.27612e-13 -0.0776351
0.132822 5.03286 1.76811 -4.12024e-13 -0.0755772
0.133691 4.32105 1.70363 -8.96081e-13 -0.0743014
0.134561 3.72814 1.70576 9.16317e-14 -0.0733407
0.135434 3.23485 1.72119 6.06726e-14 -0.0727462
0.136308 2.80382 1.65958 -1.9389e-14 -0.0723684
0.137184 2.47402 1.60102 4.95485e-13 -0.0723978
0.138061 2.18622 1.56067 -2.16546e-13 -0.0725313
0.138941 1.93323 1.52094 1.88793e-13 -0.0727975
0.139821 1.70716 1.49936 4.5594e-13 -0.0731673
0.140704 1.51058 1.51146 -3.60222e-13 -0.0736507
0.141588 1.32149 1.47569 8.49112e-13 -0.0742259
0.142474 1.15639 1.47763 4.43689e-13 -0.0748849
0.143361 0.993377 1.43925 3.34233e-13 -0.0755969
0.144251 0.847536 1.44703 1.31555e-12 -0.0763686
0.145141 0.738529 1.47541 6.07613e-13 -0.0771653
0.146034 0.625962 1.39842 -6.79156e-13 -0.0780153
0.146927 0.532058 1.3907 5.91981e-13 -0.0789666
0.147823 0.467587 1.39426 6.41135e-13 -0.0799149
0.14872 0.426523 1.4211 1.09613e-12 -0.0808651
0.149619 0.374609 1.37678 -2.39317e-13 -0.0818311
0.150519 0.319146 1.37527 1.81128e-12 -0.0829069
0.151421 0.280976 1.38187 1.09598e-12 -0.083949
0.152324 0.257884 1.38089 -3.00244e-13 -0.0849832
0.153229 0.204263 1.3224 -2.06076e-12 -0.0859868
0.154136 0.155381 1.26933 -2.18413e-12 -0.0871444
0.155044 0.118707 1.21962 1.34995e-12 -0.0881864
0.155953 0.0769835 1.13178 1.51418e-12 -0.0892406
0.156864 0.0319519 1.04565 -6.51091e-13 -0.0902038
0.157777 -0.0232366 0.896311 2.73413e-13 -0.0912987
0.158691 -0.0525286 0.819412 9.43125e-13 -0.0922872
0.159607 -0.0974518 0.735934 1.35663e-12 -0.0932353
0.160524 -0.125595 0.660427 -7.84021e-14 -0.0941978
0.161442 -0.176238 0.531071 2.1749e-13 -0.0951354
0.162362 -0.229149 0.497537 -1.20158e-12 -0.0961074
0.163284 -0.250058 0.471948 3.70953e-13 -0.0970173
0.164206 -0.288376 0.444156 1.15493e-12 -0.0978774
0.165131 -0.344448 0.432062 2.16391e-13 -0.0987899
0.166056 -0.396867 0.396424 -1.18428e-12 -0.0997536
0.166983 -0.451697 0.428896 1.55324e-13 -0.100676
0.167912 -0.498204 0.414977 1.43929e-13 -0.101622
0.168842 -0.556649 0.409789 -1.018e-12 -0.102509
0.169773 -0.626537 0.354119 -9.39993e-13 -0.103486
0.170706 -0.678322 0.349382 -2.94759e-13 -0.10445
0.17164 -0.728749 0.311436 1.82113e-12 -0.105461
0.172575 -0.762777 0.247214 -2.55563e-13 -0.106388
0.173511 -0.810577 0.140806 -1.23197e-12 -0.107333
0.174449 -0.82155 0.0794217 -5.83684e-13 -0.108243
0.175389 -0.866136 -0.0824943 -2.73256e-13 -0.109152
0.176329 -0.871454 -0.162505 -4.32588e-12 -0.110053
0.177271 -0.890572 -0.30099 3.09966e-12 -0.110922
0.178214 -0.892323 -0.397574 -8.33664e-13 -0.111782
0.179158 -0.905371 -0.476937 4.19063e-13 -0.112555
0.180104 -0.906455 -0.584039 3.89534e-12 -0.113363
0.181051 -0.927398 -0.686545 -2.23811e-12 -0.114054
0.181999 -0.944064 -0.778125 -4.25835e-12 -0.114822
0.182948 -0.945453 -0.813919 1.34085e-12 -0.115531
0.183898 -0.952569 -0.792902 -1.22804e-12 -0.116232
0.18485 -0.976304 -0.886561 3.45256e-12 -0.116938
0.185802 -1.03982 -0.885078 -2.75498e-12 -0.11755
0.186756 -1.07665 -0.93276 -7.99058e-13 -0.118562
